AAAA;TRIMESTRE;DEPARTAMENTO;PIB_COLOMBIA_ANUAL;PIB_COLOMBIA_TRIMESTRAL;PIB_DEPARTAMENTO_ANUAL;APORTE;PIB_DEPARTAMENTAL_TRIMESTRAL
2010;2;vaupés;640151.0;156000.0;190.4140422901265;0.0002974517610534491;46.40247472433806
2010;3;vaupés;640151.0;160000.0;190.4140422901265;0.0002974517610534491;47.59228176855186
2010;4;vaupés;640151.0;176000.0;190.4140422901265;0.0002974517610534491;52.351509945407045
2010;1;vichada;640151.0;148000.0;482.8837408727094;0.0007543278708815723;111.6405248904727
2010;2;vichada;640151.0;156000.0;482.8837408727094;0.0007543278708815723;117.67514785752527
2010;3;vichada;640151.0;160000.0;482.8837408727094;0.0007543278708815723;120.69245934105157
2010;4;vichada;640151.0;176000.0;482.8837408727094;0.0007543278708815723;132.76170527515671
2011;1;amazonas;684628.0;158000.0;500.8121788522607;0.0007315099278035089;115.57856859295441
2011;2;amazonas;684628.0;166000.0;500.8121788522607;0.0007315099278035089;121.43064801538247
2011;3;amazonas;684628.0;173000.0;500.8121788522607;0.0007315099278035089;126.55121751000704
2011;4;amazonas;684628.0;187000.0;500.8121788522607;0.0007315099278035089;136.79235649925616
2011;1;antioquia;684628.0;158000.0;95753.27358456491;0.139861754974329;22098.157285943984
2011;2;antioquia;684628.0;166000.0;95753.27358456491;0.139861754974329;23217.051325738616
2011;3;antioquia;684628.0;173000.0;95753.27358456491;0.139861754974329;24196.08361055892
2011;4;antioquia;684628.0;187000.0;95753.27358456491;0.139861754974329;26154.148180199525
2011;1;arauca;684628.0;158000.0;5077.628465011312;0.007416624013349311;1171.826594109191
2011;2;arauca;684628.0;166000.0;5077.628465011312;0.007416624013349311;1231.1595862159857
2011;3;arauca;684628.0;173000.0;5077.628465011312;0.007416624013349311;1283.075954309431
2011;4;arauca;684628.0;187000.0;5077.628465011312;0.007416624013349311;1386.9086904963212
2011;1;atlántico;684628.0;158000.0;28126.179779351547;0.04108242692287132;6491.023453813668
2011;2;atlántico;684628.0;166000.0;28126.179779351547;0.04108242692287132;6819.682869196639
2011;3;atlántico;684628.0;173000.0;28126.179779351547;0.04108242692287132;7107.259857656738
2011;4;atlántico;684628.0;187000.0;28126.179779351547;0.04108242692287132;7682.413834576937
2011;1;bogotá d.c.;684628.0;158000.0;176869.71708896477;0.25834426446035624;40818.39378473628
2011;2;bogotá d.c.;684628.0;166000.0;176869.71708896477;0.25834426446035624;42885.147900419135
2011;3;bogotá d.c.;684628.0;173000.0;176869.71708896477;0.25834426446035624;44693.55775164163
2011;4;bogotá d.c.;684628.0;187000.0;176869.71708896477;0.25834426446035624;48310.377454086614
2011;1;bolívar;684628.0;158000.0;25158.94834859299;0.03674834851714068;5806.239065708227
2011;2;bolívar;684628.0;166000.0;25158.94834859299;0.03674834851714068;6100.2258538453525
2011;3;bolívar;684628.0;173000.0;25158.94834859299;0.03674834851714068;6357.4642934653375
